# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.646043177420e-10       7.653263632321e-15       2.380572329286e-13       6.776158651435e-17       9.046339003653e-11       9.751288888952e-12      -8.351232443835e-15 
   41       1.670017466603e-10       8.304886755673e-15       2.284586091037e-13       7.119228301851e-17       8.598778056768e-11       9.311564781192e-12      -6.389549104805e-15 
   42       1.694088894282e-10       8.995242770766e-15       2.178260267340e-13       7.471054317779e-17       8.180192172369e-11       8.896400420408e-12      -5.644098772487e-15 
   43       1.718348922799e-10       9.723866992864e-15       2.060482133807e-13       7.831658553314e-17       7.789473422264e-11       8.506475630300e-12      -5.882701583716e-15 
   44       1.742868486865e-10       1.048997094910e-14       1.929917157192e-13       8.201062631304e-17       7.423783401545e-11       8.141141974887e-12      -6.802855915733e-15 
   45       1.767694586184e-10       1.129272583098e-14       1.785110359222e-13       8.579284229308e-17       7.079567733594e-11       7.798866050586e-12      -8.072930518214e-15 
   46       1.792844960977e-10       1.213225978012e-14       1.624863013202e-13       8.966324716344e-17       6.756285932247e-11       7.478986466716e-12      -9.481077703887e-15 
   47       1.818307412419e-10       1.300892563627e-14       1.447942240265e-13       9.362177745708e-17       6.453562258730e-11       7.180287906589e-12      -1.082315052064e-14 
   48       1.844037905826e-10       1.392302193138e-14       1.252965427257e-13       9.766832356014e-17       6.170060685608e-11       6.900409310693e-12      -1.185901705190e-14 
   49       1.869957929956e-10       1.487479086737e-14       1.038391480044e-13       1.018027271613e-16       5.903413481674e-11       6.635761801170e-12      -1.231067296203e-14 
   50       1.895986640934e-10       1.586442717659e-14       8.029463894369e-14       1.060247752331e-16       5.650934500488e-11       6.382569127828e-12      -1.195044299182e-14 
   51       1.922153706486e-10       1.689211223020e-14       5.470564023461e-14       1.103341859673e-16       5.412152981373e-11       6.140512364120e-12      -1.089818881798e-14 
   52       1.948512527389e-10       1.795798569256e-14       2.717887495538e-14       1.147306146132e-16       5.186844074666e-11       5.909932650115e-12      -9.401512326522e-15 
   53       1.975107150013e-10       1.906213397344e-14      -2.153725223408e-15       1.192136539621e-16       4.974270580131e-11       5.690766580465e-12      -7.755013830133e-15 
   54       2.001971262542e-10       2.020458871787e-14      -3.313385088328e-14       1.237828316338e-16       4.773148459079e-11       5.482516953426e-12      -6.302644093587e-15 
   55       2.029128613087e-10       2.138534246686e-14      -6.561531378958e-14       1.284376622867e-16       4.582038716180e-11       5.284482694066e-12      -5.357160311221e-15 
   56       2.056596685182e-10       2.260440365476e-14      -9.959342180522e-14       1.331778256526e-16       4.400716055446e-11       5.096582521974e-12      -4.929674774493e-15 
   57       2.084382177171e-10       2.386175262934e-14      -1.351056956151e-13       1.380030279761e-16       4.229079819548e-11       4.918684664899e-12      -4.937040044620e-15 
   58       2.112478732602e-10       2.515732485523e-14      -1.721953846692e-13       1.429129504042e-16       4.066739922184e-11       4.750346875418e-12      -5.277999992135e-15 
   59       2.140865991843e-10       2.649101007275e-14      -2.109118435372e-13       1.479072484126e-16       3.912998972005e-11       4.590797277652e-12      -5.832312106153e-15 
   60       2.169508643719e-10       2.786265145688e-14      -2.513109082623e-13       1.529855512314e-16       3.766834396544e-11       4.438915213976e-12      -6.459869803641e-15 
   61       2.198371318012e-10       2.927198904002e-14      -2.934434334202e-13       1.581475400626e-16       3.627182449630e-11       4.293534856639e-12      -7.029649644583e-15 
   62       2.227469314731e-10       3.071847704352e-14      -3.373170451976e-13       1.633932045454e-16       3.493905168322e-11       4.154479008843e-12      -7.516131285074e-15 
   63       2.256827630485e-10       3.220142386508e-14      -3.829264321587e-13       1.687226431005e-16       3.367009726195e-11       4.021724419613e-12      -7.923061034408e-15 
   64       2.286465685467e-10       3.372004163883e-14      -4.302644276791e-13       1.741359911073e-16       3.246357569035e-11       3.895090759540e-12      -8.255603995612e-15 
   65       2.316396877693e-10       3.527344362576e-14      -4.793220106479e-13       1.796334228291e-16       3.131656117300e-11       3.774231708586e-12      -8.520412696424e-15 
   66       2.346628137253e-10       3.686064160410e-14      -5.300883061702e-13       1.852151533401e-16       3.022450468589e-11       3.658626043882e-12      -8.725695720271e-15 
   67       2.377159480552e-10       3.848054325976e-14      -5.825505862695e-13       1.908814404508e-16       2.918115100103e-11       3.547568727523e-12      -8.881286337251e-15 
   68       2.407988677405e-10       4.013207031860e-14      -6.366942153959e-13       1.966325747941e-16       2.818020949773e-11       3.440368780129e-12      -8.997620541813e-15 
   69       2.439127346846e-10       4.181454657204e-14      -6.925024725592e-13       2.024688434456e-16       2.722094520274e-11       3.337009381375e-12      -9.082277293668e-15 
   70       2.470587336970e-10       4.352738414892e-14      -7.499566942517e-13       2.083905623580e-16       2.630357678679e-11       3.237606127491e-12      -9.142857309241e-15 
   71       2.502375591303e-10       4.526997020022e-14      -8.090363257566e-13       2.143980891433e-16       2.542758557763e-11       3.142208521378e-12      -9.188051635603e-15 
   72       2.534493833818e-10       4.704166737744e-14      -8.697189204392e-13       2.204918246953e-16       2.459167743861e-11       3.050796349050e-12      -9.227682389041e-15 
   73       2.566938253941e-10       4.884181431109e-14      -9.319801390372e-13       2.266722148139e-16       2.379374464720e-11       2.963276056066e-12      -9.272743493625e-15 
   74       2.599699191560e-10       5.066972608914e-14      -9.957937489519e-13       2.329397518275e-16       2.303082777347e-11       2.879477123971e-12      -9.335441419774e-15 
   75       2.632760822034e-10       5.252469473545e-14      -1.061131623539e-12       2.392949762163e-16       2.229907755866e-11       2.799148446735e-12      -9.429235922827e-15 
   76       2.666107596776e-10       5.440582990233e-14      -1.127960841276e-12       2.457383793435e-16       2.159471051332e-11       2.722024887785e-12      -9.564941335658e-15 
   77       2.699745617220e-10       5.631154635231e-14      -1.196234374134e-12       2.522700875800e-16       2.091716115900e-11       2.648048973124e-12      -9.738119612365e-15 
   78       2.733684604335e-10       5.823998345125e-14      -1.265898692009e-12       2.588901232595e-16       2.026643802465e-11       2.577183229563e-12      -9.939451678163e-15 
   79       2.767931315214e-10       6.018915391012e-14      -1.336896453000e-12       2.655984980631e-16       1.964216346473e-11       2.509341441434e-12      -1.015843353219e-14 
   80       2.802489366613e-10       6.215694098694e-14      -1.409166443233e-12       2.723952126146e-16       1.904355591472e-11       2.444386466129e-12      -1.038333620454e-14 
   81       2.837359058487e-10       6.414109568868e-14      -1.482643516678e-12       2.792802560759e-16       1.846941214671e-11       2.382128049657e-12      -1.060116571330e-14 
   82       2.872537197532e-10       6.613923397315e-14      -1.557258534975e-12       2.862536057423e-16       1.791808952490e-11       2.322320642184e-12      -1.079762302160e-14 
   83       2.908016920713e-10       6.814883395093e-14      -1.632938307252e-12       2.933152266378e-16       1.738748826120e-11       2.264661213584e-12      -1.095706399462e-14 
   84       2.943791363582e-10       7.016748505141e-14      -1.709613941050e-12       3.004650864502e-16       1.687556178062e-11       2.208860696542e-12      -1.106574592743e-14 
   85       2.979865750459e-10       7.219368911030e-14      -1.787247617549e-12       3.077032040663e-16       1.638198389880e-11       2.154876709060e-12      -1.112227322775e-14 
   86       3.016246994326e-10       7.422618757277e-14      -1.865810165412e-12       3.150296083780e-16       1.590672677867e-11       2.102715586708e-12      -1.112881804070e-14 
   87       3.052939920065e-10       7.626372275249e-14      -1.945273124326e-12       3.224443235140e-16       1.544954865621e-11       2.052361252254e-12      -1.108800261316e-14 
   88       3.089947152616e-10       7.830503926815e-14      -2.025608826189e-12       3.299473686926e-16       1.500998497183e-11       2.003774268652e-12      -1.100291448724e-14 
   89       3.127269005129e-10       8.034888548012e-14      -2.106790476293e-12       3.375387580749e-16       1.458733950170e-11       1.956890892024e-12      -1.087712169382e-14 
   90       3.164903367122e-10       8.239401492705e-14      -2.188792234509e-12       3.452185006183e-16       1.418067548906e-11       1.911622124649e-12      -1.071468794610e-14 
   91       3.202845592634e-10       8.443918776242e-14      -2.271589296472e-12       3.529865999291e-16       1.378880677561e-11       1.867852767946e-12      -1.052018783306e-14 
   92       3.241088388381e-10       8.648317219119e-14      -2.355157974764e-12       3.608430541161e-16       1.341028893285e-11       1.825440475459e-12      -1.029872201303e-14 
   93       3.279624399066e-10       8.852463596051e-14      -2.439467700066e-12       3.687879727554e-16       1.304376199397e-11       1.784251509426e-12      -1.005544426585e-14 
   94       3.318454651026e-10       9.056179904335e-14      -2.524455472119e-12       3.768219482266e-16       1.268905687745e-11       1.744276219095e-12      -9.794028281112e-15 
   95       3.357581177627e-10       9.259273113155e-14      -2.610047698409e-12       3.849457402140e-16       1.234623974669e-11       1.705529260233e-12      -9.517997293104e-15 
   96       3.397004361448e-10       9.461545685565e-14      -2.696167902488e-12       3.931601650123e-16       1.201527124844e-11       1.668014001809e-12      -9.231200054716e-15 
   97       3.436722859454e-10       9.662795571230e-14      -2.782736694245e-12       4.014660969872e-16       1.169600247050e-11       1.631722082809e-12      -8.937819330339e-15 
   98       3.476733528183e-10       9.862816199164e-14      -2.869671740178e-12       4.098644700364e-16       1.138817089945e-11       1.596632969042e-12      -8.642380388745e-15 
   99       3.517031348917e-10       1.006139647047e-13      -2.956887733663e-12       4.183562790499e-16       1.109139637834e-11       1.562713509949e-12      -8.349759495975e-15 
  100       3.557609352864e-10       1.025832075107e-13      -3.044296365228e-12       4.269425813713e-16       1.080517706437e-11       1.529917495415e-12      -8.065192408219e-15 
  101       3.598458546338e-10       1.045336886447e-13      -3.131806292823e-12       4.356244982582e-16       1.052888538668e-11       1.498185212575e-12      -7.794282864706e-15 
  102       3.639567835933e-10       1.064631608446e-13      -3.219323112089e-12       4.444032163428e-16       1.026176400397e-11       1.467443002626e-12      -7.543011080584e-15 
  103       3.680923953709e-10       1.083693312789e-13      -3.306749326634e-12       4.532799890931e-16       1.000292176225e-11       1.437602817636e-12      -7.317742239808e-15 
  104       3.722514285685e-10       1.102499700942e-13      -3.393990842370e-12       4.622560066749e-16       9.751535721277e-12       1.408582266130e-12      -7.123759622223e-15 
