# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  649       2.451727068602e-10       4.416712548633e-12      -1.935516135640e-12       1.066904638538e-14       3.038304603447e-14       4.112973215148e-15      -6.490957732827e-16 
  650       2.445788983102e-10       4.444537958804e-12      -2.133626641970e-12       1.067482017319e-14       3.021259274915e-14       4.145566194870e-15      -6.509838229675e-16 
  651       2.440072786180e-10       4.471786927077e-12      -2.333760677281e-12       1.068058853024e-14       3.004334937681e-14       4.177795557519e-15      -6.527945304226e-16 
  652       2.434582135784e-10       4.498445237820e-12      -2.535831671050e-12       1.068635612672e-14       2.987530211889e-14       4.209642994403e-15      -6.545295754639e-16 
  653       2.429320712213e-10       4.524498556590e-12      -2.739751886550e-12       1.069212768545e-14       2.970843682525e-14       4.241090011607e-15      -6.561906653003e-16 
  654       2.424292218176e-10       4.549932429750e-12      -2.945432416294e-12       1.069790798205e-14       2.954273899250e-14       4.272117929342e-15      -6.577795346470e-16 
  655       2.419500378842e-10       4.574732284092e-12      -3.152783177483e-12       1.070370184513e-14       2.937819376237e-14       4.302707881288e-15      -6.592979458392e-16 
  656       2.414948941897e-10       4.598883426452e-12      -3.361712907449e-12       1.070951415651e-14       2.921478592009e-14       4.332840813939e-15      -6.607476889460e-16 
  657       2.410641677594e-10       4.622371043332e-12      -3.572129159101e-12       1.071534985139e-14       2.905249989274e-14       4.362497485952e-15      -6.621305818829e-16 
  658       2.406582378811e-10       4.645180200518e-12      -3.783938296370e-12       1.072121391852e-14       2.889131974762e-14       4.391658467489e-15      -6.634484705264e-16 
  659       2.402774861103e-10       4.667295842702e-12      -3.997045489656e-12       1.072711140044e-14       2.873122919057e-14       4.420304139564e-15      -6.647032288268e-16 
  660       2.399222962755e-10       4.688702793096e-12      -4.211354711267e-12       1.073304739362e-14       2.857221156443e-14       4.448414693388e-15      -6.658967589219e-16 
  661       2.395929789735e-10       4.709387918003e-12      -4.426772218457e-12       1.073902657834e-14       2.841425218894e-14       4.475974544007e-15      -6.670305359510e-16 
  662       2.392895432166e-10       4.729346673672e-12      -4.643217096034e-12       1.074505179658e-14       2.825734544087e-14       4.502985679363e-15      -6.681042312485e-16 
  663       2.390119197605e-10       4.748576703059e-12      -4.860610937223e-12       1.075112544316e-14       2.810148782682e-14       4.529454604308e-15      -6.691170590138e-16 
  664       2.387600361431e-10       4.767075684164e-12      -5.078874373540e-12       1.075724993326e-14       2.794667565474e-14       4.555387953522e-15      -6.700682288504e-16 
  665       2.385338166694e-10       4.784841330242e-12      -5.297927071192e-12       1.076342770249e-14       2.779290503291e-14       4.580792492071e-15      -6.709569457545e-16 
  666       2.383331823960e-10       4.801871390020e-12      -5.517687727480e-12       1.076966120697e-14       2.764017186895e-14       4.605675115960e-15      -6.717824101038e-16 
  667       2.381580511155e-10       4.818163647905e-12      -5.738074067202e-12       1.077595292336e-14       2.748847186884e-14       4.630042852691e-15      -6.725438176460e-16 
  668       2.380083373421e-10       4.833715924201e-12      -5.959002839052e-12       1.078230534894e-14       2.733780053588e-14       4.653902861822e-15      -6.732403594874e-16 
  669       2.378839522950e-10       4.848526075321e-12      -6.180389812023e-12       1.078872100167e-14       2.718815316977e-14       4.677262435517e-15      -6.738712220818e-16 
  670       2.377848038842e-10       4.862591993998e-12      -6.402149771808e-12       1.079520242024e-14       2.703952486555e-14       4.700128999107e-15      -6.744355872190e-16 
  671       2.377107966945e-10       4.875911609499e-12      -6.624196517201e-12       1.080175216414e-14       2.689191051262e-14       4.722510111643e-15      -6.749326320133e-16 
  672       2.376618319705e-10       4.888482887841e-12      -6.846442856501e-12       1.080837281371e-14       2.674530479377e-14       4.744413466456e-15      -6.753615288922e-16 
  673       2.376378076010e-10       4.900303831998e-12      -7.068800603911e-12       1.081506697021e-14       2.659970218416e-14       4.765846891710e-15      -6.757214455855e-16 
  674       2.376386181041e-10       4.911372482121e-12      -7.291180575940e-12       1.082183725590e-14       2.645509695033e-14       4.786818350959e-15      -6.760115451131e-16 
  675       2.376641546113e-10       4.921686915744e-12      -7.513492587807e-12       1.082868631404e-14       2.631148314920e-14       4.807335943702e-15      -6.762309857744e-16 
  676       2.377143048529e-10       4.931245248001e-12      -7.735645449838e-12       1.083561680901e-14       2.616885462708e-14       4.827407905943e-15      -6.763789211367e-16 
  677       2.377889531418e-10       4.940045631840e-12      -7.957546963873e-12       1.084263142635e-14       2.602720501870e-14       4.847042610743e-15      -6.764545000235e-16 
  678       2.378879803590e-10       4.948086258232e-12      -8.179103919663e-12       1.084973287282e-14       2.588652774617e-14       4.866248568779e-15      -6.764568665038e-16 
  679       2.380112639377e-10       4.955365356386e-12      -8.400222091273e-12       1.085692387645e-14       2.574681601800e-14       4.885034428896e-15      -6.763851598800e-16 
  680       2.381586778485e-10       4.961881193964e-12      -8.620806233487e-12       1.086420718663e-14       2.560806282812e-14       4.903408978669e-15      -6.762385146773e-16 
  681       2.383300925833e-10       4.967632077291e-12      -8.840760078202e-12       1.087158557413e-14       2.547026095488e-14       4.921381144957e-15      -6.760160606318e-16 
  682       2.385253751410e-10       4.972616351569e-12      -9.059986330839e-12       1.087906183119e-14       2.533340296004e-14       4.938959994454e-15      -6.757169226793e-16 
  683       2.387443890112e-10       4.976832401088e-12      -9.278386666736e-12       1.088663877159e-14       2.519748118780e-14       4.956154734255e-15      -6.753402209441e-16 
  684       2.389869941594e-10       4.980278649445e-12      -9.495861727556e-12       1.089431923065e-14       2.506248776376e-14       4.972974712402e-15      -6.748850707273e-16 
  685       2.392530470118e-10       4.982953559749e-12      -9.712311117682e-12       1.090210606539e-14       2.492841459398e-14       4.989429418449e-15      -6.743505824958e-16 
  686       2.395424004394e-10       4.984855634840e-12      -9.927633400628e-12       1.091000215448e-14       2.479525336395e-14       5.005528484012e-15      -6.737358618708e-16 
  687       2.398549037433e-10       4.985983417499e-12      -1.014172609543e-11       1.091801039839e-14       2.466299553761e-14       5.021281683326e-15      -6.730400096164e-16 
  688       2.401904026391e-10       4.986335490662e-12      -1.035448567306e-11       1.092613371940e-14       2.453163235634e-14       5.036698933806e-15      -6.722621216283e-16 
  689       2.405487392414e-10       4.985910477632e-12      -1.056580755280e-11       1.093437506168e-14       2.440115483797e-14       5.051790296596e-15      -6.714012889224e-16 
  690       2.409297520487e-10       4.984707042295e-12      -1.077558609870e-11       1.094273739134e-14       2.427155377581e-14       5.066565977130e-15      -6.704565976236e-16 
  691       2.413332759283e-10       4.982723889327e-12      -1.098371461590e-11       1.095122369651e-14       2.414281973761e-14       5.081036325689e-15      -6.694271289542e-16 
  692       2.417591421003e-10       4.979959764413e-12      -1.119008534712e-11       1.095983698736e-14       2.401494306460e-14       5.095211837952e-15      -6.683119592227e-16 
  693       2.422071781231e-10       4.976413454457e-12      -1.139458946897e-11       1.096858029623e-14       2.388791387048e-14       5.109103155557e-15      -6.671101598124e-16 
  694       2.426772078773e-10       4.972083787796e-12      -1.159711708844e-11       1.097745667760e-14       2.376172204042e-14       5.122721066656e-15      -6.658207971701e-16 
  695       2.431690515509e-10       4.966969634411e-12      -1.179755723924e-11       1.098646920824e-14       2.363635723008e-14       5.136076506467e-15      -6.644429327946e-16 
  696       2.436825256239e-10       4.961069906144e-12      -1.199579787821e-11       1.099562098719e-14       2.351180886461e-14       5.149180557840e-15      -6.629756232256e-16 
  697       2.442174428527e-10       4.954383556905e-12      -1.219172588175e-11       1.100491513589e-14       2.338806613765e-14       5.162044451800e-15      -6.614179200321e-16 
  698       2.447736122552e-10       4.946909582891e-12      -1.238522704220e-11       1.101435479820e-14       2.326511801033e-14       5.174679568115e-15      -6.597688698010e-16 
  699       2.453508390949e-10       4.938647022796e-12      -1.257618606425e-11       1.102394314047e-14       2.314295321028e-14       5.187097435846e-15      -6.580275141262e-16 
  700       2.459488971687e-10       4.929596466636e-12      -1.276449789596e-11       1.103368278089e-14       2.302156176797e-14       5.199307216726e-15      -6.561932988730e-16 
  701       2.465674450649e-10       4.919764616289e-12      -1.295010198813e-11       1.104357406440e-14       2.290093966276e-14       5.211308096647e-15      -6.542673113514e-16 
  702       2.472061081300e-10       4.909159820374e-12      -1.313294874144e-11       1.105361675196e-14       2.278108427167e-14       5.223096736786e-15      -6.522510688912e-16 
  703       2.478645059866e-10       4.897790574826e-12      -1.331298823567e-11       1.106381058795e-14       2.266199284015e-14       5.234669776371e-15      -6.501461119884e-16 
  704       2.485422525110e-10       4.885665523472e-12      -1.349017022878e-11       1.107415530005e-14       2.254366248152e-14       5.246023832623e-15      -6.479540043938e-16 
  705       2.492389558113e-10       4.872793458619e-12      -1.366444415620e-11       1.108465059921e-14       2.242609017630e-14       5.257155500691e-15      -6.456763332015e-16 
  706       2.499542182050e-10       4.859183321632e-12      -1.383575912991e-11       1.109529617952e-14       2.230927277165e-14       5.268061353600e-15      -6.433147089381e-16 
  707       2.506876361973e-10       4.844844203517e-12      -1.400406393765e-11       1.110609171818e-14       2.219320698068e-14       5.278737942185e-15      -6.408707656510e-16 
  708       2.514388004587e-10       4.829785345503e-12      -1.416930704210e-11       1.111703687539e-14       2.207788938189e-14       5.289181795038e-15      -6.383461609973e-16 
  709       2.522072958030e-10       4.814016139624e-12      -1.433143658006e-11       1.112813129427e-14       2.196331641852e-14       5.299389418443e-15      -6.357425763327e-16 
  710       2.529927011655e-10       4.797546129300e-12      -1.449040036157e-11       1.113937460080e-14       2.184948439794e-14       5.309357296317e-15      -6.330617168001e-16 
  711       2.537945895802e-10       4.780385009919e-12      -1.464614586916e-11       1.115076640372e-14       2.173638949102e-14       5.319081890158e-15      -6.303053114179e-16 
  712       2.546125281583e-10       4.762542629422e-12      -1.479862025697e-11       1.116230629446e-14       2.162402773153e-14       5.328559638973e-15      -6.274751131697e-16 
  713       2.554460780661e-10       4.744028988881e-12      -1.494777034993e-11       1.117399384708e-14       2.151239501550e-14       5.337786959232e-15      -6.245728990921e-16 
  714       2.562947945024e-10       4.724854243080e-12      -1.509354264296e-11       1.118582861816e-14       2.140148710064e-14       5.346760244798e-15      -6.216004703638e-16 
  715       2.571582266770e-10       4.705028701103e-12      -1.523588330012e-11       1.119781014673e-14       2.129129960565e-14       5.355475866873e-15      -6.185596523947e-16 
  716       2.580359177882e-10       4.684562826910e-12      -1.537473815378e-11       1.120993795420e-14       2.118182800967e-14       5.363930173937e-15      -6.154522949138e-16 
  717       2.589274050008e-10       4.663467239920e-12      -1.551005270381e-11       1.122221154428e-14       2.107306765162e-14       5.372119491690e-15      -6.122802720586e-16 
  718       2.598322194241e-10       4.641752715595e-12      -1.564177211674e-11       1.123463040289e-14       2.096501372962e-14       5.380040122991e-15      -6.090454824639e-16 
  719       2.607498860898e-10       4.619430186021e-12      -1.576984122497e-11       1.124719399809e-14       2.085766130031e-14       5.387688347799e-15      -6.057498493498e-16 
  720       2.616799239298e-10       4.596510740489e-12      -1.589420452586e-11       1.125990178000e-14       2.075100527828e-14       5.395060423114e-15      -6.023953206111e-16 
  721       2.626218457540e-10       4.573005626077e-12      -1.601480618100e-11       1.127275318072e-14       2.064504043544e-14       5.402152582916e-15      -5.989838689060e-16 
  722       2.635751582286e-10       4.548926248234e-12      -1.613159001533e-11       1.128574761425e-14       2.053976140041e-14       5.408961038109e-15      -5.955174917444e-16 
  723       2.645393618536e-10       4.524284171358e-12      -1.624449951631e-11       1.129888447640e-14       2.043516265785e-14       5.415481976458e-15      -5.919982115771e-16 
  724       2.655139509408e-10       4.499091119382e-12      -1.635347783312e-11       1.131216314475e-14       2.033123854792e-14       5.421711562532e-15      -5.884280758842e-16 
  725       2.664984135918e-10       4.473358976353e-12      -1.645846777581e-11       1.132558297851e-14       2.022798326560e-14       5.427645937644e-15      -5.848091572640e-16 
  726       2.674922316760e-10       4.447099787016e-12      -1.655941181450e-11       1.133914331849e-14       2.012539086008e-14       5.433281219790e-15      -5.811435535218e-16 
  727       2.684948808083e-10       4.420325757392e-12      -1.665625207852e-11       1.135284348702e-14       2.002345523417e-14       5.438613503591e-15      -5.774333877582e-16 
  728       2.695058303268e-10       4.393049255367e-12      -1.674893035561e-11       1.136668278783e-14       1.992217014365e-14       5.443638860234e-15      -5.736808084585e-16 
  729       2.705245432713e-10       4.365282811266e-12      -1.683738809109e-11       1.138066050601e-14       1.982152919668e-14       5.448353337414e-15      -5.698879895811e-16 
  730       2.715504763608e-10       4.337039118439e-12      -1.692156638701e-11       1.139477590792e-14       1.972152585314e-14       5.452752959269e-15      -5.660571306459e-16 
  731       2.725830799713e-10       4.308331033846e-12      -1.700140600134e-11       1.140902824110e-14       1.962215342404e-14       5.456833726327e-15      -5.621904568237e-16 
  732       2.736217981141e-10       4.279171578629e-12      -1.707684734718e-11       1.142341673420e-14       1.952340507090e-14       5.460591615442e-15      -5.582902190244e-16 
  733       2.746660684133e-10       4.249573938706e-12      -1.714783049186e-11       1.143794059691e-14       1.942527380514e-14       5.464022579738e-15      -5.543586939860e-16 
  734       2.757153220839e-10       4.219551465343e-12      -1.721429515616e-11       1.145259901987e-14       1.932775248741e-14       5.467122548547e-15      -5.503981843632e-16 
  735       2.767689839099e-10       4.189117675743e-12      -1.727618071349e-11       1.146739117459e-14       1.923083382704e-14       5.469887427352e-15      -5.464110188162e-16 
  736       2.778264722216e-10       4.158286253622e-12      -1.733342618904e-11       1.148231621337e-14       1.913451038137e-14       5.472313097725e-15      -5.423995520995e-16 
  737       2.788871988743e-10       4.127071049796e-12      -1.738597025894e-11       1.149737326922e-14       1.903877455516e-14       5.474395417269e-15      -5.383661651504e-16 
  738       2.799505692254e-10       4.095486082759e-12      -1.743375124949e-11       1.151256145581e-14       1.894361859994e-14       5.476130219558e-15      -5.343132651780e-16 
  739       2.810160132377e-10       4.063545428077e-12      -1.747671919313e-11       1.152787956549e-14       1.884903564083e-14       5.477514009799e-15      -5.302428637110e-16 
  740       2.820830795049e-10       4.031262882996e-12      -1.751487225928e-11       1.154332515724e-14       1.875502278024e-14       5.478546066987e-15      -5.261553014267e-16 
  741       2.831513430378e-10       3.998652296365e-12      -1.754822104090e-11       1.155889545055e-14       1.866157805422e-14       5.479226383125e-15      -5.220504983294e-16 
  742       2.842203742926e-10       3.965727679784e-12      -1.757677656462e-11       1.157458762558e-14       1.856869941014e-14       5.479554971348e-15      -5.179283735079e-16 
  743       2.852897391553e-10       3.932503208162e-12      -1.760055029254e-11       1.159039882294e-14       1.847638470635e-14       5.479531866025e-15      -5.137888451314e-16 
  744       2.863589989270e-10       3.898993220274e-12      -1.761955412408e-11       1.160632614356e-14       1.838463171177e-14       5.479157122843e-15      -5.096318304454e-16 
  745       2.874277103080e-10       3.865212219316e-12      -1.763380039773e-11       1.162236664859e-14       1.829343810551e-14       5.478430818910e-15      -5.054572457683e-16 
  746       2.884954253829e-10       3.831174873470e-12      -1.764330189296e-11       1.163851735918e-14       1.820280147645e-14       5.477353052839e-15      -5.012650064872e-16 
  747       2.895616916053e-10       3.796896016451e-12      -1.764807183198e-11       1.165477525640e-14       1.811271932285e-14       5.475923944849e-15      -4.970550270542e-16 
  748       2.906260517826e-10       3.762390648073e-12      -1.764812388154e-11       1.167113728106e-14       1.802318905200e-14       5.474143636853e-15      -4.928272209823e-16 
  749       2.916880440603e-10       3.727673934803e-12      -1.764347215483e-11       1.168760033359e-14       1.793420797976e-14       5.472012292554e-15      -4.885815008417e-16 
  750       2.927472019074e-10       3.692761210319e-12      -1.763413121322e-11       1.170416127385e-14       1.784577333022e-14       5.469530097536e-15      -4.843177782559e-16 
  751       2.938030541006e-10       3.657667976066e-12      -1.762011606813e-11       1.172081692104e-14       1.775788223527e-14       5.466697259360e-15      -4.800359638979e-16 
  752       2.948551247092e-10       3.622409901816e-12      -1.760144218280e-11       1.173756405351e-14       1.767053173422e-14       5.463514007657e-15      -4.757359674860e-16 
  753       2.959029330799e-10       3.587002826224e-12      -1.757812547416e-11       1.175439940864e-14       1.758371877344e-14       5.459980594216e-15      -4.714176977802e-16 
  754       2.969459938216e-10       3.551462757387e-12      -1.755018231463e-11       1.177131968269e-14       1.749744020588e-14       5.456097293087e-15      -4.670810625784e-16 
  755       2.979838167898e-10       3.515805873398e-12      -1.751762953393e-11       1.178832153066e-14       1.741169279078e-14       5.451864400663e-15      -4.627259687124e-16 
  756       2.990159070717e-10       3.480048522908e-12      -1.748048442090e-11       1.180540156610e-14       1.732647319320e-14       5.447282235784e-15      -4.583523220437e-16 
  757       3.000417649707e-10       3.444207225680e-12      -1.743876472532e-11       1.182255636105e-14       1.724177798365e-14       5.442351139822e-15      -4.539600274603e-16 
  758       3.010608859912e-10       3.408298673149e-12      -1.739248865976e-11       1.183978244582e-14       1.715760363771e-14       5.437071476779e-15      -4.495489888723e-16 
  759       3.020727608236e-10       3.372339728977e-12      -1.734167490135e-11       1.185707630887e-14       1.707394653562e-14       5.431443633377e-15      -4.451191092080e-16 
  760       3.030768753283e-10       3.336347429612e-12      -1.728634259363e-11       1.187443439668e-14       1.699080296189e-14       5.425468019154e-15      -4.406702904106e-16 
  761       3.040727105214e-10       3.300338984847e-12      -1.722651134835e-11       1.189185311357e-14       1.690816910491e-14       5.419145066558e-15      -4.362024334335e-16 
  762       3.050597425585e-10       3.264331778374e-12      -1.716220124732e-11       1.190932882159e-14       1.682604105654e-14       5.412475231036e-15      -4.317154382372e-16 
  763       3.060374427204e-10       3.228343368343e-12      -1.709343284420e-11       1.192685784036e-14       1.674441481176e-14       5.405458991130e-15      -4.272092037847e-16 
  764       3.070052773967e-10       3.192391487921e-12      -1.702022716632e-11       1.194443644692e-14       1.666328626820e-14       5.398096848571e-15      -4.226836280384e-16 
  765       3.079627080717e-10       3.156494045847e-12      -1.694260571651e-11       1.196206087558e-14       1.658265122585e-14       5.390389328370e-15      -4.181386079554e-16 
  766       3.089091913081e-10       3.120669126993e-12      -1.686059047494e-11       1.197972731781e-14       1.650250538654e-14       5.382336978915e-15      -4.135740394843e-16 
  767       3.098441787326e-10       3.084934992917e-12      -1.677420390089e-11       1.199743192204e-14       1.642284435368e-14       5.373940372059e-15      -4.089898175610e-16 
  768       3.107671170201e-10       3.049310082424e-12      -1.668346893460e-11       1.201517079356e-14       1.634366363175e-14       5.365200103218e-15      -4.043858361048e-16 
  769       3.116774478783e-10       3.013813012120e-12      -1.658840899909e-11       1.203293999435e-14       1.626495862598e-14       5.356116791461e-15      -3.997619880147e-16 
  770       3.125746080332e-10       2.978462576975e-12      -1.648904800198e-11       1.205073554295e-14       1.618672464194e-14       5.346691079604e-15      -3.951181651653e-16 
  771       3.134580292129e-10       2.943277750875e-12      -1.638541033728e-11       1.206855341429e-14       1.610895688512e-14       5.336923634307e-15      -3.904542584031e-16 
  772       3.143271381330e-10       2.908277687183e-12      -1.627752088725e-11       1.208638953960e-14       1.603165046056e-14       5.326815146161e-15      -3.857701575426e-16 
  773       3.151813564811e-10       2.873481719293e-12      -1.616540502420e-11       1.210423980618e-14       1.595480037246e-14       5.316366329785e-15      -3.810657513624e-16 
  774       3.160201009014e-10       2.838909361193e-12      -1.604908861231e-11       1.212210005733e-14       1.587840152377e-14       5.305577923919e-15      -3.763409276012e-16 
  775       3.168427829796e-10       2.804580308015e-12      -1.592859800944e-11       1.213996609218e-14       1.580244871580e-14       5.294450691517e-15      -3.715955729542e-16 
  776       3.176488092278e-10       2.770514436602e-12      -1.580396006896e-11       1.215783366551e-14       1.572693664785e-14       5.282985419840e-15      -3.668295730687e-16 
  777       3.184375810688e-10       2.736731806054e-12      -1.567520214158e-11       1.217569848768e-14       1.565185991677e-14       5.271182920549e-15      -3.620428125411e-16 
  778       3.192085611139e-10       2.703250980151e-12      -1.554235768569e-11       1.219355638108e-14       1.557721371431e-14       5.259044866924e-15      -3.572353373718e-16 
  779       3.199614733900e-10       2.670083958953e-12      -1.540548321025e-11       1.221140375336e-14       1.550299593410e-14       5.246576322549e-15      -3.524078456822e-16 
  780       3.206961068368e-10       2.637241153252e-12      -1.526464165321e-11       1.222923713280e-14       1.542920510341e-14       5.233783260232e-15      -3.475612061929e-16 
  781       3.214122493526e-10       2.604733054333e-12      -1.511989680474e-11       1.224705301239e-14       1.535583968874e-14       5.220671729435e-15      -3.426962966258e-16 
  782       3.221096877916e-10       2.572570234199e-12      -1.497131331012e-11       1.226484784962e-14       1.528289809557e-14       5.207247856531e-15      -3.378140037323e-16 
  783       3.227882079621e-10       2.540763345793e-12      -1.481895667267e-11       1.228261806644e-14       1.521037866811e-14       5.193517845064e-15      -3.329152233217e-16 
  784       3.234475946242e-10       2.509323123226e-12      -1.466289325669e-11       1.230036004913e-14       1.513827968904e-14       5.179487976010e-15      -3.280008602897e-16 
  785       3.240876314879e-10       2.478260382005e-12      -1.450319029039e-11       1.231807014816e-14       1.506659937926e-14       5.165164608033e-15      -3.230718286462e-16 
  786       3.247081012106e-10       2.447586019251e-12      -1.433991586881e-11       1.233574467812e-14       1.499533589764e-14       5.150554177746e-15      -3.181290515440e-16 
  787       3.253087853951e-10       2.417311013930e-12      -1.417313895676e-11       1.235337991754e-14       1.492448734073e-14       5.135663199969e-15      -3.131734613070e-16 
  788       3.258894645877e-10       2.387446427076e-12      -1.400292939175e-11       1.237097210884e-14       1.485405174257e-14       5.120498267988e-15      -3.082059994583e-16 
  789       3.264499182757e-10       2.358003402019e-12      -1.382935788690e-11       1.238851745819e-14       1.478402707435e-14       5.105066053817e-15      -3.032276167489e-16 
  790       3.269899248854e-10       2.328993164604e-12      -1.365249603389e-11       1.240601213540e-14       1.471441124423e-14       5.089373308449e-15      -2.982392731854e-16 
  791       3.275092617801e-10       2.300427023423e-12      -1.347241630591e-11       1.242345227379e-14       1.464520209704e-14       5.073426862126e-15      -2.932419380587e-16 
  792       3.280077052577e-10       2.272316370037e-12      -1.328919206051e-11       1.244083397009e-14       1.457639741404e-14       5.057233624590e-15      -2.882365899724e-16 
  793       3.284850305487e-10       2.244672679200e-12      -1.310289754264e-11       1.245815328433e-14       1.450799491267e-14       5.040800585343e-15      -2.832242168707e-16 
  794       3.289410118142e-10       2.217507509087e-12      -1.291360788748e-11       1.247540623971e-14       1.443999224627e-14       5.024134813909e-15      -2.782058160669e-16 
  795       3.293754221434e-10       2.190832501519e-12      -1.272139912344e-11       1.249258882251e-14       1.437238700385e-14       5.007243460092e-15      -2.731823942716e-16 
  796       3.297880335518e-10       2.164659382185e-12      -1.252634817505e-11       1.250969698195e-14       1.430517670983e-14       4.990133754234e-15      -2.681549676213e-16 
  797       3.301786169788e-10       2.138999960871e-12      -1.232853286590e-11       1.252672663008e-14       1.423835882376e-14       4.972813007473e-15      -2.631245617063e-16 
  798       3.305469422857e-10       2.113866131683e-12      -1.212803192158e-11       1.254367364169e-14       1.417193074010e-14       4.955288612005e-15      -2.580922115989e-16 
  799       3.308927782538e-10       2.089269873273e-12      -1.192492497260e-11       1.256053385415e-14       1.410588978794e-14       4.937568041341e-15      -2.530589618824e-16 
  800       3.312158925816e-10       2.065223249065e-12      -1.171929255731e-11       1.257730306737e-14       1.404023323077e-14       4.919658850567e-15      -2.480258666786e-16 
  801       3.315160518833e-10       2.041738407479e-12      -1.151121612485e-11       1.259397704358e-14       1.397495826617e-14       4.901568676601e-15      -2.429939896764e-16 
  802       3.317930216864e-10       2.018827582154e-12      -1.130077803808e-11       1.261055150733e-14       1.391006202564e-14       4.883305238455e-15      -2.379644041602e-16 
  803       3.320465664294e-10       1.996503092180e-12      -1.108806157646e-11       1.262702214528e-14       1.384554157424e-14       4.864876337492e-15      -2.329381930380e-16 
  804       3.322764494601e-10       1.974777342315e-12      -1.087315093908e-11       1.264338460616e-14       1.378139391043e-14       4.846289857685e-15      -2.279164488698e-16 
  805       3.324824330329e-10       1.953662823218e-12      -1.065613124747e-11       1.265963450058e-14       1.371761596576e-14       4.827553765877e-15      -2.229002738960e-16 
  806       3.326642783072e-10       1.933172111668e-12      -1.043708854862e-11       1.267576740101e-14       1.365420460463e-14       4.808676112040e-15      -2.178907800652e-16 
  807       3.328217453448e-10       1.913317870791e-12      -1.021610981789e-11       1.269177884156e-14       1.359115662403e-14       4.789665029533e-15      -2.128890890633e-16 
  808       3.329545931082e-10       1.894112850288e-12      -9.993282961883e-12       1.270766431797e-14       1.352846875329e-14       4.770528735361e-15      -2.078963323408e-16 
  809       3.330625794580e-10       1.875569886657e-12      -9.768696821464e-12       1.272341928741e-14       1.346613765382e-14       4.751275530435e-15      -2.029136511421e-16 
  810       3.331454611510e-10       1.857701903420e-12      -9.542441174624e-12       1.273903916841e-14       1.340415991884e-14       4.731913799831e-15      -1.979421965331e-16 
  811       3.332029938382e-10       1.840521911345e-12      -9.314606739433e-12       1.275451934074e-14       1.334253207317e-14       4.712452013049e-15      -1.929831294295e-16 
  812       3.332349320623e-10       1.824043008678e-12      -9.085285176969e-12       1.276985514529e-14       1.328125057293e-14       4.692898724269e-15      -1.880376206256e-16 
  813       3.332410292559e-10       1.808278381360e-12      -8.854569094245e-12       1.278504188395e-14       1.322031180529e-14       4.673262572616e-15      -1.831068508222e-16 
  814       3.332210377393e-10       1.793241303258e-12      -8.622552047142e-12       1.280007481953e-14       1.315971208823e-14       4.653552282413e-15      -1.781920106548e-16 
  815       3.331747087179e-10       1.778945136390e-12      -8.389328543331e-12       1.281494917559e-14       1.309944767027e-14       4.633776663444e-15      -1.732943007222e-16 
  816       3.331017922809e-10       1.765403331144e-12      -8.154994045214e-12       1.282966013637e-14       1.303951473024e-14       4.613944611212e-15      -1.684149316145e-16 
  817       3.330020974726e-10       1.752627211116e-12      -7.919641202707e-12       1.284420335351e-14       1.297990985805e-14       4.594063302086e-15      -1.635549144042e-16 
  818       3.328756736903e-10       1.740619283747e-12      -7.683348471930e-12       1.285857647646e-14       1.292063150698e-14       4.574132742893e-15      -1.587144279580e-16 
  819       3.327226325226e-10       1.729379810644e-12      -7.446191299036e-12       1.287277764917e-14       1.286167856688e-14       4.554151124481e-15      -1.538934403796e-16 
  820       3.325430879774e-10       1.718909011973e-12      -7.208245874171e-12       1.288680500572e-14       1.280304988522e-14       4.534116617949e-15      -1.490919175141e-16 
  821       3.323371564906e-10       1.709207066288e-12      -6.969589133725e-12       1.290065667028e-14       1.274474426695e-14       4.514027374578e-15      -1.443098229385e-16 
  822       3.321049569347e-10       1.700274110359e-12      -6.730298762592e-12       1.291433075706e-14       1.268676047436e-14       4.493881525767e-15      -1.395471179523e-16 
  823       3.318466106275e-10       1.692110238999e-12      -6.490453196417e-12       1.292782537037e-14       1.262909722685e-14       4.473677182967e-15      -1.348037615684e-16 
  824       3.315622413408e-10       1.684715504890e-12      -6.250131623847e-12       1.294113860448e-14       1.257175320083e-14       4.453412437618e-15      -1.300797105035e-16 
  825       3.312519753086e-10       1.678089918413e-12      -6.009413988791e-12       1.295426854369e-14       1.251472702949e-14       4.433085361081e-15      -1.253749191691e-16 
  826       3.309159412365e-10       1.672233447475e-12      -5.768380992666e-12       1.296721326228e-14       1.245801730267e-14       4.412694004575e-15      -1.206893396618e-16 
  827       3.305542703096e-10       1.667146017333e-12      -5.527114096652e-12       1.297997082447e-14       1.240162256667e-14       4.392236399111e-15      -1.160229217541e-16 
  828       3.301670962019e-10       1.662827510426e-12      -5.285695523945e-12       1.299253928440e-14       1.234554132409e-14       4.371710555427e-15      -1.113756128852e-16 
